Product No.,Description,CAS,Package Size,Price (Euro),USP Traceability
PHR1056,Trimethoprim,738-70-5,1 g,EUR 72.6,1692505
PHR1057,Furosemide,54-31-9,1 g,EUR 80.8,1287008
PHR1058,Clotrimazole,23593-75-1,1 g,EUR 84.4,1141002
PHR1059,Omeprazole,73590-58-6,1 g,EUR 85.4,1478505
PHR1060,Mesalamine,89-57-6,1 g,EUR 72.6,1392705
PHR1061,Valproic acid,99-66-1,1 g,EUR 72.6,1708707
PHR1063,Residual Solvents Mixture - Class I,,3 x 1.2 mL,EUR 157,1601102
PHR1064,Residual Solvents Mixture - Class IIA,,3 x 1.2 mL,EUR 157,1601281
PHR1065,Residual Solvents Mixture - Class IIB,,3 x 1.2 mL,EUR 157,1601292
PHR1066,Residual Solvents Mixture - Class IIC,,3 x 1.2 mL,EUR 157,1601306
PHR1067,Carbamazepine,298-46-4,1 g,EUR 72.6,1093001
PHR1068,Ethylenediaminetetraacetic acid disodium salt dihydrate,6381-92-6,1 g,EUR 84.4,1233009
PHR1070,Dehydrated Alcohol,64-17-5,5 x 1.2 mL,EUR 119,1012772
PHR1071,"Citric acid, Anhydrous",77-92-9,1 g,EUR 72.6,1134368
PHR1072,2-Propanol,67-63-0,3 x 1.2 mL,EUR 109,1570428
PHR1073,Avobenzone,70356-09-1,1 g,EUR 84.4,1045337
PHR1074,Oxybenzone,131-57-7,1 g,EUR 72.6,1485001
PHR1075,Cimetidine,51481-61-9,1 g,EUR 160,1134062
PHR1076,Metoprolol Tartrate,56392-17-7,1 g,EUR 72.6,1441301
PHR1077,Gentamicin Sulfate,1405-41-0,1 g,EUR 92.8,1289003
PHR1078,Phytonadione,84-80-0,1 g,EUR 76.6,1538006
PHR1079,Tobramycin,32986-56-4,1 g,EUR 96.7,1667508
PHR1080,Octinoxate,5466-77-3,1 g,EUR 84.4,1477900
PHR1080,Octinoxate,5466-77-3,10 g,EUR 551,1477900
PHR1081,Octisalate,118-60-5,1 g,EUR 72.6,1477943
PHR1081,Octisalate,118-60-5,10 g,EUR 551,1477943
PHR1083,Octocrylene,6197-30-4,1 g,EUR 84.4,1477411
PHR1083,Octocrylene,6197-30-4,10 g,EUR 551,1477411
PHR1084,Metformin hydrochloride,1115-70-4,500 mg,EUR 117,1396309
PHR1085,Homosalate,118-56-9,1 g,EUR 84.4,1311408
PHR1085,Homosalate,118-56-9,10 g,EUR 551,1311408
PHR1086,Acetanilide melting point standard,103-84-4,1 g,EUR 72.6,1004001
PHR1087,Sulfapyridine melting point standard,144-83-2,1 g,EUR 72.6,1635002
PHR1088,Azithromycin,117772-70-0,1 g,EUR 80.8,1046056
PHR1090,Dopamine hydrochloride,62-31-7,1 g,EUR 75.8,1225204
PHR1091,Vanillin melting point standard,121-33-5,1 g,EUR 72.6,1711009
PHR1092,Cyclosporine,59865-13-3,500 mg,EUR 199,1158504
PHR1093,Sulfanilamide melting point standard,63-74-1,1 g,EUR 72.6,1633007
PHR1094,Phenacetin melting point standard,62-44-2,1 g,EUR 75.8,1514008
PHR1095,Caffeine Melting Point Standard,58-08-2,1 g,EUR 72.6,1086006
PHR1096,L-Lysine Acetate,57282-49-2,1 g,EUR 105,1371501
PHR1097,L-Tyrosine,60-18-4,1 g,EUR 105,1705006
PHR1098,N-Acetyl-L-cysteine,616-91-1,1 g,EUR 105,1009005
PHR1099,L-Isoleucine,73-32-5,1 g,EUR 184,1349502
PHR1100,L-Phenylalanine,63-91-2,1 g,EUR 105,1530503
PHR1101,L-Lysine monohydrochloride,657-27-2,1 g,EUR 105,1372005
PHR1102,L-Cysteine hydrochloride monohydrate,7048-04-6,1 g,EUR 105,1161509
PHR1103,L-Serine,56-45-1,1 g,EUR 156,1612506
PHR1104,L-Aspartic acid,56-84-8,1 g,EUR 105,1043819
PHR1105,L-Leucine,61-90-5,1 g,EUR 105,1357001
PHR1106,L-Arginine,74-79-3,1 g,EUR 105,1042500
PHR1107,L-Glutamic acid,56-86-0,1 g,EUR 151,1294976
PHR1108,L-Histidine,71-00-1,1 g,EUR 105,1308505
PHR1109,Taurine,107-35-7,1 g,EUR 105,1643361
PHR1110,L-Alanine,56-41-7,1 g,EUR 200,1012509
PHR1111,Glycine,56-40-6,1 g,EUR 105,1295800
PHR1113,Sodium L-lactate,867-56-1,1 g,EUR 105,1614308
PHR1114,Stearic Acid,57-11-4,1 g,EUR 105,1621008
PHR1115,Stearyl Alcohol,112-92-5,1 g,EUR 84.4,1622000
PHR1116,L-Menthol,2216-51-5,1 g,EUR 84.4,1381709
PHR1117,Butylated Hydroxytoluene,128-37-0,1 g,EUR 84.4,1092708
PHR1118,Propyl gallate,121-79-9,1 g,EUR 105,1576800
PHR1119,D-Camphor,464-49-3,1 g,EUR 84.4,1087508
PHR1120,Palmitic acid,57-10-3,1 g,EUR 84.4,1492007
PHR1121,2-Phenoxyethanol,122-99-6,1.5 g,EUR 84.4,1526200
PHR1121,2-Phenoxyethanol,122-99-6,10 g,EUR 485,1526200
PHR1122,Phenylethyl Alcohol,60-12-8,1.5 g,EUR 105,1533250
PHR1122,Phenylethyl Alcohol,60-12-8,2 g,EUR 110,1533250
PHR1123,Isopropyl myristate,110-27-0,1 g,EUR 105,1350400
PHR1124,Myristic acid,544-63-8,1 g,EUR 190,1448990
PHR1125,L-Glutamine,56-85-9,1 g,EUR 105,1294808
PHR1126,Sulfamethoxazole,723-46-6,1 g,EUR 105,1631001
PHR1127,Amoxicillin trihydrate,61336-70-7,1 g,EUR 105,1031503
PHR1128,Bupivacaine hydrochloride,73360-54-0,1 g,EUR 110,1078507
PHR1129,Tetracaine hydrochloride,136-47-0,1 g,EUR 255,1650006
PHR1130,Potassium gluconate,299-27-4,1 g,EUR 105,1550001
PHR1131,(±)-Verapamil hydrochloride,152-11-4,1 g,EUR 105,1711202
PHR1132,Metoclopramide Hydrochloride,,1 g,EUR 105,1440808
PHR1133,Cetyl Alcohol,36653-82-4,1 g,EUR 84.4,1103003
PHR1134,Thymol,89-83-8,1 g,EUR 105,1449008
PHR1135,Myristyl Alcohol,112-72-1,1 g,EUR 105,1449008
PHR1136,Guaiacol,90-05-1,1.5 g,EUR 84.4,1300004
PHR1137,Isopropyl palmitate,142-91-6,1 g,EUR 105,1350603
PHR1138,Adenosine,58-61-7,1 g,EUR 105,1012123
PHR1139,Phenytoin,57-41-0,1 g,EUR 105,1535008
PHR1140,Ketorolac Tromethamine,74103-07-4,500 mg,EUR 131,1356665
PHR1141,Ondansetron Hydrochloride,103639-04-9,1 g,EUR 131,1478582
PHR1142,Progesterone,57-83-0,1 g,EUR 105,1568007
PHR1143,Lisinopril,83915-83-7,1 g,EUR 112,1368609
PHR1144,Diclofenac sodium salt,15307-79-6,1 g,EUR 84.4,118880
PHR1145,Doxycycline hyclate,24390-14-5,1 g,EUR 119,1226003
PHR1145,Doxycycline hyclate,24390-14-5,1 g,EUR 119,1226003
PHR1146,Ibuprofen Related Compound C,38861-78-8,500 mg,EUR 156,1335541
PHR1148,4-Aminophenol (Acetaminophen Related Compound K) (Paracetamol Impurity K),123-30-8,1 g,EUR 71.8,1021204
PHR1149,Acetaminophen Related Compound J,539-03-7,1 g,EUR 86.8,1003100
PHR1150,Acetaminophen Related Compound F,100-02-7,1 g,EUR 71.8,
PHR1152,Phenyl salicylate melting point standard,118-55-8,1 g,EUR 137,1534209
PHR1153,Triethyl citrate,77-93-0,1 g,EUR 105,1683606
PHR1155,Octyldodecanol,5333-42-6,1 g,EUR 105,1477808
PHR1156,Tributyl 2-acetylcitrate,77-90-7,1 g,EUR 105,1009901
PHR1157,Triethyl 2-acetylcitrate,77-89-4,1 g,EUR 105,1009923
PHR1158,Benzocaine,94-09-7,1 g,EUR 84.4,1054000
PHR1159,Clindamycin hydrochloride,58207-19-5,1 g,EUR 123,1136002
PHR1160,Fluconazole,86386-73-4,1 g,EUR 105,1271700
PHR1161,Procaine hydrochloride,51-05-8,1 g,EUR 105,1564006
PHR1162,Loperamide hydrochloride,34552-83-5,1 g,EUR 119,1370000
PHR1163,(±)-Miconazole nitrate salt,22832-87-7,1 g,EUR 165,1443500
PHR1164,Amiodarone hydrochloride,19774-82-4,1 g,EUR 119,1027302
PHR1165,Naproxen sodium,26159-34-2,1 g,EUR 131,1457403
PHR1166,Cetyl Palmitate,540-10-3,1 g,EUR 167,1103105
PHR1167,Ciprofloxacin,85721-33-1,1 g,EUR 105,1134313
PHR1168,Ofloxacin,82419-36-1,1 g,EUR 119,1478108
PHR1170,Residual Solvent - Methanol,,3 x 1.2 mL,EUR 167,1601623
PHR1171,Residual Solvent - Methylene Chloride,,3 x 1.2 mL,EUR 167,1601441
PHR1172,L-Valine,72-18-4,1 g,EUR 105,1708503
PHR1173,N-Acetyl-L-tyrosine,537-55-3,1 g,EUR 105,1010106
PHR1174,Fluoroquinolonic acid,86393-33-1,500 mg,EUR 143,1278302
PHR1176,Tryptophan,73-22-3,1 g,EUR 105,1700501
PHR1177,N-Acetyl-L-tryptophan,1218-34-4,500 mg,EUR 122,1700523
PHR1178,Budesonide,51333-22-3,500 mg,EUR 136,1078201
PHR1179,Chlorothiazide,58-94-6,500 mg,EUR 84.4,1121005
PHR1180,Imidazole,288-32-4,500 mg,EUR 88.5,1336500
PHR1182,Papaverine hydrochloride,61-25-6,500 mg,EUR 102,1496008
PHR1184,Sulfanilamide,,5 g,EUR 84.4,1632004
PHR1185,Amlodipine besylate,111470-99-6,1 g,EUR 88.5,1029501
PHR1187,Tretinoin,302-79-4,3 x 100 mg,EUR 121,1674004
PHR1188,Isotretinoin,4759-48-2,3 x 100 mg,EUR 121,1353500
PHR1191,Nitrofurantoin,67-20-9,1 g,EUR 84.4,1464001
PHR1192,Benzothiadiazine Related Compound A,121-30-2,500 mg,EUR 113,1057507
PHR1195,Tinidazole Related Compound A,696-23-1,500 mg,EUR 105,1667530
PHR1196,Nitrofurazone,59-87-0,1 g,EUR 81.8,1465004
PHR1197,Iminostilbene,256-96-2,500 mg,EUR 431,1093023
PHR1199,Glucosamine hydrochloride,66-84-2,500 mg,EUR 84.4,1294207
PHR1200,p-Chloroaniline,106-47-8,1 g,EUR 84.4,1111908
PHR1201,Resorcinol,108-46-3,500 mg,EUR 83.1,1602003
PHR1202,Caprylic Acid (Octanoic Acid),124-07-2,1 g,EUR 84.4,1091040
PHR1203,Benzaldehyde,100-52-7,3 x 1 mL,EUR 81.8,1050905
PHR1204,Benzophenone,119-61-9,1 g,EUR 80.2,
PHR1205,Tributyl phosphate,126-73-8,0.5 mL,EUR 84.4,
PHR1206,Galactose,59-23-4,500 mg,EUR 84.4,1287700
PHR1207,Methyl Ethyl Ketone,78-93-3,3 x 1.2 mL,EUR 96.7,1430101
PHR1208,1-Propanol,71-23-8,3 x 1.2 mL,EUR 107,1570406
PHR1208,1-Propanol,71-23-8,3 x 1.2 mL,EUR 107,1570406
PHR1209,1-Butanol,71-36-3,3 x 1.2 mL,EUR 84.4,1081807
PHR1210,Cumene,98-82-8,3 x 1.2 mL,EUR 84.4,1151709
PHR1211,Butyl acetate,123-86-4,3 x 1.2 mL,EUR 88.5,1082606
PHR1212,Anisole,100-66-3,3 x 1.2 mL,EUR 81.8,1037011
PHR1213,Benzyl benzoate,120-51-4,5 g,EUR 84.4,1062008
PHR1214,Methyl salicylate,119-36-8,3.2 mL,EUR 84.4,1537450
PHR1215,Lactic acid,50-21-5,3 x 1.5 mL,EUR 84.4,1356734
PHR1216,Dibutyl sebacate,109-43-3,3 x 1.2 mL,EUR 84.4,1187091
PHR1218,trans-Anethole,4180-23-8,2.2 mL,EUR 132,1035005
PHR1219,Acetone,67-64-1,3 x 1.5 mL,EUR 84.4,1006801
PHR1222,Chlorhexidine acetate,56-95-1,500 mg,EUR 84.4,1111103
PHR1223,2-Methylpyrazine,109-08-0,500 mg,EUR 81.8,
PHR1224,Aminocaproic acid,60-32-2,1 g,EUR 88.5,1021000
PHR1226,Cetylpyridinum chloride,6004-24-6,1 g,EUR 84.4,1104006
PHR1227,Fluorouracil,51-21-8,500 mg,EUR 120,12790000
PHR1228,Dexpanthenol,81-13-0,500 mg,EUR 80.2,1179504
PHR1229,Ethylbenzene,100-41-4,3 x 1.2 mL,EUR 119,1265457
PHR1231,Sodium benzoate,532-32-1,1 g,EUR 81.8,1055002
PHR1232,Calcium-d-pantothenate,137-08-6,500 mg,EUR 84.4,1087009
PHR1233,Biotin,58-85-5,1 g,EUR 109,1071508
PHR1234,Cyanocobalamin,68-19-9,1 g,EUR 110,1152011
PHR1235,Retinyl Palmitate (Vitamin A Palmitate),79-81-2,1 g,EUR 81.8,1602502
PHR1236,Retinyl Acetate (Vitamin A Acetate),127-47-9,1 g,EUR 84.4,1716002
PHR1237,Cholecalciferol (Vitamin D3),67-97-0,500 mg,EUR 119,1131009
PHR1238,Ergocalciferol (Vitamin D2),50-14-6,500 mg,EUR 119,1239005
PHR1239,β-Carotene,7235-40-7,1 g,EUR 117,1065480
PHR1239,β-Carotene,7235-40-7,3 x 100 mg,EUR 196,1065480
PHR1241,L-Methionine,63-68-3,1 g,EUR 81.8,1411504
PHR1242,L-Threonine,72-19-5,500 mg,EUR 81.8,1667202
PHR1243,Guanine,73-40-5,500 mg,EUR 84.4,1302156
PHR1244,Lindane,58-89-9,500 mg,EUR 84.4,1367504
PHR1245,Vanillin,121-33-5,1 g,EUR 84.4,1710006
PHR1246,Fenofibrate,49562-28-9,500 mg,EUR 112,1269447
PHR1247,Indomethacin,53-86-1,500 mg,EUR 112,1341001
PHR1248,Maltitol,585-88-6,500 mg,EUR 95.9,1374907
PHR1249,Phenacetin,62-44-2,1 g,EUR 84.4,1513005
PHR1250,Povidone,9003-39-8,500 mg,EUR 95.9,1551503
PHR1251,Choline chloride,67-48-1,500 mg,EUR 84.4,1133547
PHR1252,Procainamide hydrochloride,614-39-1,500 mg,EUR 84.4,1563502
PHR1253,Acarbose,56180-94-0,500 mg,EUR 119,1000521
PHR1254,Acyclovir,59277-89-3,1 g,EUR 84.4,1012065
PHR1256,Abacavir sulfate,188062-50-2,500 mg,EUR 216,1000408
PHR1257,Lidocaine hydrochloride,6108-05-0,500 mg,EUR 83.6,1366013
PHR1257,Lidocaine hydrochloride,6108-05-0,5 g,EUR 504,1366013
PHR1258,Chloroquine phosphate,50-63-5,1 g,EUR 95.7,1118000
PHR1259,Thiabendazole,148-79-8,500 mg,EUR 83.6,1655000
PHR1265,Carvedilol,72956-09-3,1 g,EUR 109,1096622
PHR1266,Acesulfame K,55589-62-3,500 mg,EUR 102,1002505
PHR1268,Ethyl vanillin,121-32-4,1 g,EUR 84.4,1267500
PHR1269,Eugenol,97-53-0,1 g,EUR 84.4,1268965
PHR1270,Fumaric Acid,110-17-8,1 g,EUR 83.1,1286708
PHR1271,Levodopa,59-92-7,500 mg,EUR 102,1361009
PHR1272,Maleic acid,110-16-7,500 mg,EUR 84.4,1374500
PHR1273,Malic acid,6915-15-7,1 g,EUR 84.4,1374601
PHR1274,Melamine,108-78-1,1 g,EUR 84.4,1379183
PHR1275,Naphthalene,91-20-3,1 g,EUR 84.4,1457083
PHR1276,Niacin (Nicotinic Acid),59-67-6,1 g,EUR 84.4,1461003
PHR1277,Nitrilotriacetic acid,139-13-9,500 mg,EUR 84.4,1463950
PHR1278,Potassium sorbate,24634-61-5,1 g,EUR 95.9,1548407
PHR1279,Sodium ascorbate,134-03-2,1 g,EUR 84.4,1613509
PHR1280,Xylitol,87-99-0,1 g,EUR 84.4,1720600
PHR1281,Albendazole,54965-21-8,1 g,EUR 84.4,1012553
PHR1282,Azathioprine,446-86-6,1 g,EUR 84.4,1046001
PHR1283,Cefaclor,70356-03-5,1 g,EUR 84.4,1096906
PHR1284,Chlorpropamide,94-20-2,1 g,EUR 84.4,1126009
PHR1285,Lovastatin,75330-75-5,1 g,EUR 84.4,1370600
PHR1286,Gemfibrozil,25812-30-0,1 g,EUR 84.4,1288500
PHR1287,Glyburide (Glibenclamide),10238-21-8,1 g,EUR 84.4,1295505
PHR1288,Gliclazide,21187-98-4,1 g,EUR 119,
PHR1289,Enalapril Maleate,76095-16-4,1 g,EUR 84.4,1235300
PHR1290,Nifedipine,21829-25-4,1 g,EUR 107,1463508
PHR1291,Cefazolin,25953-19-9,500 mg,EUR 241,1097603
PHR1292,Zidovudine,30516-87-1,1 g,EUR 102,1724500
PHR1293,Nimodipine,66085-59-4,1 g,EUR 84.4,1463858
PHR1294,Chlorhexidine digluconate,18472-51-0,1 g,EUR 98.1,1111001
PHR1295,Ethylene Oxide Stock Solution,,1.2 mL,EUR 174,
PHR1296,Bifonazole,60628-96-8,1 g,EUR 84.4,
PHR1297,Phosphated Riboflavin (Riboflavin Sodium Phosphate),,1 g,EUR 84.4,1535700
PHR1298,Terbinafine hydrochloride,78628-80-5,1 g,EUR 84.4,1643496
PHR1300,Dequalinium chloride,522-51-0,500 mg,EUR 119,
PHR1301,Ensulizole(2-Phenylbenzimidazole 5-sulfonic acid),27503-81-7,1 g,EUR 84.4,1530809
PHR1302,Pramoxine hydrochloride,637-58-1,1 g,EUR 118,1554002
PHR1303,"3,4,4` Trichlorocarbanilide (Triclocarban)",101-20-2,500 mg,EUR 95.4,
PHR1304,Butylated hydroxyanisole,25013-16-5,1 g,EUR 95.9,1083008
PHR1305,Sodium dodecylbenzenesulfonate,25155-30-0,1 g,EUR 95.9,1623637
PHR1306,3-tert-Butyl-4-hydroxyanisole,121-00-6,500 mg,EUR 143,1083100
PHR1307,Captopril,62571-86-2,1 g,EUR 84.4,1091200
PHR1308,Propranolol hydrochloride,318-98-9,1 g,EUR 178,1576005
PHR1309,Dimethyl Sulfoxide,67-68-5,3 g,EUR 84.4,1211006
PHR1310,Benzene,71-43-2,1 g,EUR 123,1601146
PHR1311,Toluene,108-88-3,1 g,EUR 95.9,1601805
PHR1312,o-Xylene,95-47-6,1 g,EUR 95.9,1601849
PHR1313,m-Xylene,108-38-3,1 g,EUR 119,1601849
PHR1314,p-Xylene,106-42-3,1 g,EUR 95.9,1601849
PHR1315,Valsartan,137862-53-4,1 g,EUR 93.3,1708762
PHR1316,Residual Solvent - Chloroform,67-66-3,3 x 1.2 mL,EUR 143,1601383
PHR1317,Residual Solvent - Toluene,108-88-3,3 x 1.2 mL,EUR 84.4,1601805
PHR1317,Residual Solvent - Toluene,108-88-3,3 x 1.2 mL,EUR 84.4,1601805
PHR1318,Residual Solvent - Benzene,,3 x 1.2 mL,EUR 93.3,1601146
PHR1318,Residual Solvent - Benzene,,3 x 1.2 mL,EUR 93.3,1601146
PHR1320,Residual Solvent - Acetonitrile,75-05-8,3 x 1.2 mL,EUR 96.7,1601340
PHR1321,Sodium chloride,7647-14-5,5 g,EUR 46.5,1613804
PHR1322,Gabapentin Related Compound A,64744-50-9,100 mg,EUR 140,1287325
PHR1323,L-Cystine,56-89-3,500 mg,EUR 93.3,1161586
PHR1324,Meglumine,6284-40-8,1 g,EUR 96.7,1379140
PHR1325,Oxytetracycline Hydrochloride,2058-46-0,500 mg,EUR 102,1491015
PHR1326,Calcium carbonate,471-34-1,5 g,EUR 110,1086403
PHR1326,Calcium carbonate,471-34-1,5 g,EUR 110,1086403
PHR1327,Ammonium chloride,12125-02-9,1 g,EUR 46.5,1029953
PHR1328,Magnesium carbonate,23389-33-5,5 g,EUR 46.5,1374226
PHR1329,Potassium Chloride,7447-40-7,5 g,EUR 46.5,1548190
PHR1330,Monobasic Potassium Phosphate,7778-77-0,5 g,EUR 135,1551139
PHR1331,Metformin Related Compound A,461-58-5,500 mg,EUR 91.7,1396310
PHR1332,L-Proline,147-85-3,500 mg,EUR 119,1568506
PHR1332,L-Proline,147-85-3,500 mg,EUR 119,1568506
PHR1333,Epigallocatechin gallate,989-51-5,1 g,EUR 102,1236700
PHR1334,Folic Acid Impurity A,4271-30-1,500 mg,EUR 113,1019870
PHR1335,Labetalol Hydrochloride,32780-64-6,1 g,EUR 84.4,1356654
PHR1336,Nimesulide,51803-78-2,1 g,EUR 93.3,
PHR1337,Thiamine Nitrate,532-43-4,1 g,EUR 84.4,
PHR1338,Triclosan,3380-34-5,1 g,EUR 84.4,1682206
PHR1339,3-Amino-1-propanol,,500 mg,EUR 107,1570450
PHR1340,Pyrilamine maleate,59-33-6,500 mg,EUR 93.3,1588004
PHR1341,Saccharin,81-07-2,1 g,EUR 84.4,1607007
PHR1342,Sucralose,56038-13-2,500 mg,EUR 93.3,1623626
PHR1343,Sulfadiazine,68-35-9,500 mg,EUR 93.3,1625009
PHR1344,Trehalose,6138-23-4,500 mg,EUR 93.3,1673715
PHR1345,Thymine(Zidovudine Related Compound C),65-71-4,250 mg,EUR 121,1754532
PHR1346,Methylsulfonylmethane,67-71-0,1 g,EUR 93.3,1437600
PHR1347,Tromethamine,77-86-1,1 g,EUR 93.3,1698002
PHR1348,Saccharin Sodium,128-44-9,500 mg,EUR 84.4,1607040
PHR1349,Beta Alanine,107-95-9,1 g,EUR 93.3,1012495
PHR1350,Cytosine,71-30-7,500 mg,EUR 93.3,1162148
PHR1351,Inositol,87-89-8,1 g,EUR 93.3,1340960
PHR1352,N-Methylpyrrolidone,872-50-4,2 g,EUR 92,1437202
PHR1353,Estradiol,50-28-2,1 g,EUR 121,1250008
PHR1354,3-Iodo-2-propynyl N-butylcarbamate,,500 mg,EUR 109,
PHR1355,Padimate O,21245-02-3,10 g,EUR 444,1491503
PHR1357,Histamine Dihydrochloride,,500 mg,EUR 130,1309009
PHR1358,DMDM Hydantoin,,1 mL,EUR 107,
PHR1359,Glutathione,70-18-8,500 mg,EUR 93.3,1294820
PHR1360,Potassium Iodide,7681-11-0,5 g,EUR 47.6,1548280
PHR1360,Potassium Iodide,7681-11-0,5 g,EUR 47.6,1548280
PHR1362,Calcium Acetate,62-54-4,5 g,EUR 48.5,1086334
PHR1363,Magnesium Stearate,,2.5 g,EUR 90.9,
PHR1364,Allantoin,97-59-6,500 mg,EUR 120,1012939
PHR1365,Lamivudine,134678-17-4,1 g,EUR 179,1356836
PHR1366,Dibutyl Phthalate,84-74-2,1 g,EUR 96.7,1187080
PHR1367,Sorbic acid,110-44-1,1 g,EUR 96.7,1615956
PHR1369,Thiamine pyrophosphate,154-87-0,500 mg,EUR 200,1656002
PHR1370,Benzyl Nicotinate,94-44-0,1 mL,EUR 96.7,
PHR1371,Benzalkonium Chloride 10% Solution,63449-41-2,5 mL,EUR 93.3,1051001
PHR1372,Methanol,67-56-1,3 x 1.5 mL,EUR 96.7,1424109
PHR1373,Alcohol,64-17-5,5 x 1.2 mL,EUR 152,1012768
PHR1375,Ketoprofen,22071-15-4,500 mg,EUR 128,1356632
PHR1376,Loratadine,79794-75-5,1 g,EUR 132,1370270
PHR1377,Allopurinol,315-30-0,1 g,EUR 107,1013002
PHR1378,Leflunomide,75706-12-6,1 g,EUR 109,1356960
PHR1379,Atropine Sulfate,5908-99-6,1 g,EUR 116,1045009
PHR1380,Ivermectin,70288-86-7,1 g,EUR 105,1354309
PHR1381,Aspartame,22839-47-0,1 g,EUR 83.1,1043706
